"search-number","evaluation","evals-requested-so-far","ticks_contagious*","death_age*","vaccine_morbidity*","infection_morbidity*","behavior_sensitivity*","initial_population*","initial_will_vaccinate*","initial_infected*","sample_rate*","steps_per_time*","infection_chance_per_contact*","ticks_per_year*","initial_vaccinated*","random-seed","min-result","max-result","mean-result","stdev-result","final-step-result"
"1","1","500","14","64","0.97","0.06","0.9","2500","50","1","1","11","0.1","365","3","""148363165""","1255","1255","1255","0","1255"
"1","2","500","14","64","0.97","0.06","0.9","2500","50","1","1","11","0.1","365","3","""1826296568""","1244","1244","1244","0","1244"
"1","3","500","14","64","0.97","0.06","0.9","2500","50","1","1","11","0.1","365","3","""-1278877872""","1254","1254","1254","0","1254"
"1","4","500","14","64","0.97","0.06","0.9","2500","50","1","1","11","0.1","365","3","""1315926442""","1248","1248","1248","0","1248"
"1","5","500","14","64","0.97","0.06","0.9","2500","50","1","1","11","0.1","365","3","""-203048553""","1250","1250","1250","0","1250"
"1","6","500","14","64","0.97","0.06","0.9","2500","50","1","1","11","0.1","365","3","""352736298""","1253","1253","1253","0","1253"
"1","7","500","14","64","0.97","0.06","0.9","2500","50","1","1","11","0.1","365","3","""414126475""","1253","1253","1253","0","1253"
"1","8","500","14","64","0.97","0.06","0.9","2500","50","1","1","11","0.1","365","3","""-2042238533""","1209","1209","1209","0","1209"
"1","9","500","14","64","0.97","0.06","0.9","2500","50","1","1","11","0.1","365","3","""-475684769""","1250","1250","1250","0","1250"
"1","10","500","14","64","0.97","0.06","0.9","2500","50","1","1","11","0.1","365","3","""-516061301""","1244","1244","1244","0","1244"
"1","11","500","14","64","0.6","0.12","0.75","2500","50","1","1","11","0.1","365","1","""1155808143""","1249","1249","1249","0","1249"
"1","12","500","14","64","0.6","0.12","0.75","2500","50","1","1","11","0.1","365","1","""1006345853""","1250","1250","1250","0","1250"
"1","13","500","14","64","0.6","0.12","0.75","2500","50","1","1","11","0.1","365","1","""1261485062""","1249","1249","1249","0","1249"
"1","14","500","14","64","0.6","0.12","0.75","2500","50","1","1","11","0.1","365","1","""1156148247""","1247","1247","1247","0","1247"
"1","15","500","14","64","0.6","0.12","0.75","2500","50","1","1","11","0.1","365","1","""892868619""","1250","1250","1250","0","1250"
"1","16","500","14","64","0.6","0.12","0.75","2500","50","1","1","11","0.1","365","1","""295639021""","1256","1256","1256","0","1256"
"1","17","500","14","64","0.6","0.12","0.75","2500","50","1","1","11","0.1","365","1","""-1251181375""","1248","1248","1248","0","1248"
"1","18","500","14","64","0.6","0.12","0.75","2500","50","1","1","11","0.1","365","1","""1581205439""","1248","1248","1248","0","1248"
"1","19","500","14","64","0.6","0.12","0.75","2500","50","1","1","11","0.1","365","1","""692727143""","1247","1247","1247","0","1247"
"1","20","500","14","64","0.6","0.12","0.75","2500","50","1","1","11","0.1","365","1","""-1433162086""","1255","1255","1255","0","1255"
"1","21","500","14","64","0.51","0.52","0.92","2500","50","1","1","11","0.1","365","0","""-215634981""","1258","1258","1258","0","1258"
"1","22","500","14","64","0.51","0.52","0.92","2500","50","1","1","11","0.1","365","0","""1325615133""","1247","1247","1247","0","1247"
"1","23","500","14","64","0.51","0.52","0.92","2500","50","1","1","11","0.1","365","0","""1856079578""","1248","1248","1248","0","1248"
"1","24","500","14","64","0.51","0.52","0.92","2500","50","1","1","11","0.1","365","0","""525026568""","1251","1251","1251","0","1251"
"1","25","500","14","64","0.51","0.52","0.92","2500","50","1","1","11","0.1","365","0","""1940752286""","1247","1247","1247","0","1247"
"1","26","500","14","64","0.51","0.52","0.92","2500","50","1","1","11","0.1","365","0","""-580605806""","1246","1246","1246","0","1246"
"1","27","500","14","64","0.51","0.52","0.92","2500","50","1","1","11","0.1","365","0","""511090667""","1257","1257","1257","0","1257"
"1","28","500","14","64","0.51","0.52","0.92","2500","50","1","1","11","0.1","365","0","""-1404039629""","1252","1252","1252","0","1252"
